image_name,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,score
12135,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,Aurelia Women Solid Pink Kurtas,68.7
18899,Women,Apparel,Topwear,Tops,Maroon,Fall,2011,Casual,Arrow Woman Igor Maroon Top,97.5
32631,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012,Sports,Nike Women Pure Orange T-shirt,86.6
54581,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,79.9
15648,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Nike Women Runng Blue T-shirt,57.8
39156,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aneri Women Black Kurta,57.8
22769,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011,Ethnic,BIBA Women Printed Maroon Kurta,52.9
58648,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,ALayna Women Pink & Yellow Kurta,93.3
6211,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,UCB Women's Print Boat Blue Top,80.1
42393,Women,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Flying Machine Women White T-shirt,85.4
33028,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Mother Earth Women Printed Blue Kurta,51.0
4918,Women,Apparel,Topwear,Tops,Pink,Summer,2011,Casual,Gini and Jony Girls Vollie Pink Top,98.5
13448,Women,Apparel,Topwear,Shirts,Pink,Summer,2011,Casual,United Colors of Benetton Women Solid Pink Shirts,91.6
11552,Women,Apparel,Topwear,Kurtas,White,Summer,2011,Ethnic,W Women Printed White Kurtas,60.6
19974,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,United Colors of Benetton Women Yellow T-shirt,59.1
24362,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011,Ethnic,Folklore Women Brown Printed Kurta,59.2
50705,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Latin Quarters Women Cream Printed Top,65.2
24591,Women,Apparel,Topwear,Kurtas,Olive,Fall,2011,Ethnic,Vishudh Women Olive Printed Kurta,76.2
33757,Women,Apparel,Topwear,Tops,Sea Green,Summer,2012,Casual,Vero Moda Women Sea Green Top,71.6
28733,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,W Women Printed Green Kurta,64.6
12072,Women,Apparel,Topwear,Kurtas,White,Fall,2011,Ethnic,W Women Printed White Kurtas,80.6
22609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011,Casual,Nike Women Pink Sweatshirts,57.0
18275,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,Aneri Women Preet Blue Kurta,64.6
49657,Women,Apparel,Topwear,Tops,Brown,Summer,2012,Casual,Mineral Women Brown Top,68.3
16135,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Tokyo Talkies Women Printed White Top,72.8
58701,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,ALayna Women Printed White Kurta,89.3
41385,Women,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Wrangler Women Green Candy Shirt,60.0
38595,Women,Apparel,Topwear,Tshirts,Lavender,Summer,2012,Casual,Nike Women Printed Scoop Lavender T-shirt,75.7
24156,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011,Ethnic,Aurelia Women Purple Striped Kurta,79.6
2120,Women,Apparel,Topwear,Tops,Navy Blue,Winter,2010,Casual,Lee Women Navy Blue Top,52.3
30868,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012,Ethnic,Fabindia Women Off White Kurta,80.4
6596,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,Spykar Women Purple Top,58.5
49768,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012,Ethnic,Alma Women Maroon Kurta,53.3
11623,Women,Apparel,Topwear,Kurtis,Navy Blue,Summer,2011,Ethnic,W Women Check Navy  Blue Kurtis,97.4
59892,Women,Apparel,Topwear,Shirts,Blue,Fall,2012,Casual,Femella Women Blue Shirt,98.3
42559,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,Mother Earth Women Multi Coloured Kurta,90.4
24168,Women,Apparel,Topwear,Kurtis,Orange,Fall,2011,Ethnic,Aurelia Women Orange Striped Kurti,65.2
26941,Women,Apparel,Topwear,Tshirts,Lavender,Summer,2012,Casual,Jealous 21 Women Printed Lavender T-shirt,54.9
11544,Women,Apparel,Topwear,Kurtas,Green,Summer,2011,Ethnic,W Women Printed Green Kurtas,84.2
8491,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Forever New Women Porcelain White Top,72.0
27260,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Arrow Woman Blue Top,56.1
7426,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,W Women Mandarin Neck Sleeveless Purple Top,74.8
34584,Women,Apparel,Topwear,Tops,Teal,Summer,2012,Casual,Tonga Women Teal Top,51.7
46286,Women,Apparel,Topwear,Tunics,Multi,Summer,2012,Casual,109F Women Multicoloured Printed Tunic,95.5
33050,Women,Apparel,Topwear,Kurtas,Olive,Summer,2012,Ethnic,Mother Earth Women Printed Olive Kurta,62.9
38825,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Latin Quarters Women Magenta & Brown Check Top,83.1
18299,Women,Apparel,Topwear,Kurtas,Black,Fall,2011,Ethnic,Aneri Women Zeenat Black Kurta,65.6
48091,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,French Connection Women Blue Shirt,76.0
54692,Women,Apparel,Topwear,Kurtas,Multi,Fall,2012,Ethnic,Shree Women Multicoloured Printed Kurta,77.3
50355,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Aurelia Women Brown Kurta,59.2
35045,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Fabindia Women Silk Green Kurta,98.5
36475,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012,Ethnic,Aurelia Women Dobby Purple Kurta,88.8
26866,Women,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Jealous 21 Women Printed White T-shirt,97.0
24398,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,94.7
31059,Women,Apparel,Topwear,Dupatta,Off White,Summer,2012,Ethnic,Fabindia Women Off White Chanderi Dupatta,79.9
19606,Women,Apparel,Topwear,Tops,Green,Summer,2011,Casual,United Colors of Benetton Women Solid Green Top,96.1
52087,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Myntra Women Yellow T-shirt,54.4
41131,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Allen Solly Woman Light Pink Top,59.8
8460,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Jealous 21 Women Jealous Calandra Pink Top Pink Tops,52.3
40640,Women,Apparel,Topwear,Kurtas,Olive,Summer,2012,Ethnic,Span Women Olive Green Kurta,66.3
18732,Women,Apparel,Topwear,Tops,Off White,Fall,2011,Casual,Arrow Woman Ann Off White Top,69.4
28907,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Biba Women Printed White & Purple Kurta,63.6
19105,Women,Apparel,Topwear,Kurtas,Red,Fall,2011,Ethnic,Mother Earth Women Printed Red Kurta,91.4
19667,Women,Apparel,Topwear,Tops,Lavender,Summer,2011,Casual,United Colors of Benetton Women Solid Lavender Top,67.8
22226,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Little Miss Women Funky Black T-shirt,64.0
43325,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,United Colors of Benetton Women Pink T-shirt,77.1
36498,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Folklore Women Green Kurta,57.0
28688,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,W Women Printed Pink Kurta,90.1
57435,Women,Apparel,Topwear,Tshirts,Red,Summer,2015,Casual,Angry Birds Women Coral T-shirt,53.7
11785,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Lee Women Solid Black Tshirts,99.3
44699,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Wills Lifestyle Women Pink Top,88.6
12831,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Ant Kids Pink Tops,59.9
57050,Women,Apparel,Dress,Dresses,White,Summer,2012,Casual,Elle Color Clash Purple Dress,50.3
28717,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012,Ethnic,W Women Printed Purple Kurta,90.8
18961,Women,Apparel,Topwear,Jackets,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Jacket,85.3
18742,Women,Apparel,Topwear,Tops,Brown,Fall,2011,Casual,Arrow Woman Boho Brown Top,86.5
25972,Women,Apparel,Dress,Dresses,Brown,Summer,2012,Casual,Femella Women Brown Dress,88.6
23313,Women,Apparel,Topwear,Kurtas,Red,Fall,2011,Ethnic,W Women Red Printed Kurta,53.7
28775,Women,Apparel,Topwear,Kurtis,Red,Summer,2012,Ethnic,Aurelia Women Printed Red Kurti,67.9
18714,Women,Apparel,Topwear,Tops,Magenta,Fall,2011,Casual,Arrow Woman Issey Magenta Top,55.8
44701,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Wills Lifestyle Women Pink Top,93.2
30910,Women,Apparel,Topwear,Kurtis,Grey,Summer,2012,Ethnic,Fabindia Women Striped Grey Kurti,81.2
8439,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Jealous Macrae Purple Top,66.5
49637,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Mineral Women Dark Pink Top,53.2
38585,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Women Black T-shirt,65.5
59061,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Global Desi Women Green & Purple Kurta,66.3
38589,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Women Black T-shirt,86.5
37913,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Mineral Women Yellow Top,81.9
30875,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Fabindia Women Green Printed Kurta,94.4
26904,Women,Apparel,Topwear,Tops,Lavender,Summer,2012,Casual,Jealous 21 Women Lavender Top,73.6
47025,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Shree Women Red & Black Kurta,56.0
28705,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Printed Peach Kurta,85.7
40612,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Span Women Green Kurta,88.0
11628,Women,Apparel,Topwear,Kurtas,Purple,Summer,2011,Ethnic,W Women Printed Purple Kurtas,78.1
23333,Women,Apparel,Topwear,Kurtis,Maroon,Fall,2011,Ethnic,W Women Wine Printed Kurti,88.5
43662,Women,Apparel,Topwear,Tops,Purple,Summer,2012,Casual,ONLY Women Purple Top,74.7
19682,Women,Apparel,Topwear,Sweatshirts,Purple,Summer,2011,Casual,United Colors of Benetton Women Purple Sweatshirt,76.1
58519,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Tonga Women Grey Top,71.4
53125,Women,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Myntra Women Green T-shirt,51.3
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,55.4
45963,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Tokyo Talkies Women Light Pink Printed Top,51.6
52093,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Myntra Women White Top,81.8
40599,Women,Apparel,Topwear,Kurtis,Brown,Summer,2012,Ethnic,Aurelia Women Brown Kurti,65.7
54680,Women,Apparel,Topwear,Kurtas,Peach,Fall,2012,Ethnic,Shree Women Peach Kurta,75.4
53426,Women,Apparel,Topwear,Kurtas,Green,Fall,2012,Ethnic,Alma Women Green Kurta,95.4
43680,Women,Apparel,Dress,Dresses,Red,Summer,2012,Casual,French Connection Women Printed Red Dress,62.5
19652,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,United Colors of Benetton Women White Printed Top,70.5
24388,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011,Ethnic,Folklore Women Orange Printed Kurta,87.8
54084,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Mumbai Slang Women Blue Top,61.4
11571,Women,Apparel,Topwear,Kurtas,Purple,Summer,2011,Ethnic,W Women Printed Purple Kurtas,53.8
20014,Women,Apparel,Topwear,Tops,Olive,Summer,2011,Casual,United Colors of Benetton Women Printed Olive Top,64.5
48513,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,French Connection Women Black Top,58.1
5860,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,ADIDAS Women Beat Pink T-shirt,96.5
54088,Women,Apparel,Topwear,Tops,Beige,Summer,2012,Casual,Mumbai Slang Women Beige Top,90.4
42240,Women,Apparel,Topwear,Tops,Purple,Summer,2012,Casual,Sepia Women Purple Top,81.7
6101,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,UCB Women's Basic Round Neck Blue T-shirt,93.6
48463,Women,Apparel,Dress,Dresses,Teal,Summer,2012,Casual,French Connection Teal & Brown Printed Dress,90.2
25893,Women,Apparel,Topwear,Tops,Brown,Summer,2012,Casual,Femella Women Spaghetti Brown Top,59.3
41403,Women,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Wrangler Women Red T-shirt,94.6
4778,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Sports,ADIDAS Women's Flora White T-shirt,77.0
7157,Women,Apparel,Topwear,Tunics,Black,Fall,2011,Casual,Scullers For Her Women Fashion Summer Black Tunics,90.4
40442,Women,Apparel,Dress,Dresses,Grey,Summer,2012,Casual,La Emotio Women Grey Dress,94.8
28475,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Urban Yoga Women Printed Blue Kurta,65.9
41172,Women,Apparel,Topwear,Shirts,Orange,Summer,2012,Casual,Allen Solly Woman Orange Shirt,55.5
12604,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Printed Purple Tops,61.4
11622,Women,Apparel,Topwear,Kurtas,Blue,Summer,2011,Ethnic,W Women Check Blue Kurtas,71.4
5115,Women,Apparel,Topwear,Tops,Grey,Summer,2011,Casual,Wrangler Women Blouson Tank Dark Grey Top,90.9
60000,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012,Ethnic,Alma Women Blue Kurta,93.0
27862,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Casual,Scullers For Her Women Check Navy Blue Shirt,50.3
34917,Women,Apparel,Topwear,Dupatta,Blue,Summer,2012,Ethnic,Fabindia Blue Dupatta,75.5
26889,Women,Apparel,Topwear,Tops,Lavender,Summer,2012,Casual,Jealous 21 Women Printed Lavender Top,70.9
9801,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Scullers For Her Women Scullers Top Purple Tops,61.1
47675,Women,Apparel,Dress,Dresses,Black,Summer,2012,Casual,Femella Women Black Animal Printed Dress,56.0
36826,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,66.9
5135,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Wrangler Women's Photo Print Blue T-shirt,97.1
19598,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,United Colors of Benetton Women Solid Purple Top,66.2
20108,Women,Apparel,Topwear,Kurtas,Navy Blue,Fall,2011,Ethnic,Diva Women Printed Navy Blue Kurta,75.9
6910,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Tantra Women's Rupee White T-shirt,85.2
3068,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Tantra Women's Hint Lime Green T-shirt,68.2
53861,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Vishudh Women Blue & Green Printed Kurta,98.6
42653,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Alma Women Black Printed Kurta,98.1
18286,Women,Apparel,Topwear,Kurtas,Multi,Fall,2011,Ethnic,Aneri Women Bhumi Multi Kurta,62.6
51434,Women,Apparel,Topwear,Shirts,Turquoise Blue,Summer,2012,Casual,Myntra Women Turquoise Blue Check Shirt,74.9
44681,Women,Apparel,Dress,Dresses,White,Summer,2012,Casual,Wills Lifestyle Women White Dress,65.0
43911,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012,Casual,W Women Off White Shrug,64.2
4933,Women,Apparel,Dress,Dresses,Peach,Summer,2011,Casual,Gini and Jony Girl's Valerie Peach White Kidswear,51.8
12101,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,W Women Printed Pink Kurtas,80.5
31225,Women,Apparel,Topwear,Tshirts,Black,Winter,2013,Casual,Puma Women Black Polo T-shirt,75.1
11379,Women,Apparel,Topwear,Tops,Blue,Fall,2011,Casual,United Colors Of Benetton Women Winter Blue Top,52.6
43330,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,United Colors of Benetton Women Yellow Top,63.9
9151,Women,Apparel,Topwear,Tops,Grey,Fall,2011,Casual,Jealous 21 Women Checks Grey Tops,95.4
9802,Women,Apparel,Topwear,Tops,Navy Blue,Fall,2011,Casual,Scullers For Her Women Scullers Top Navy Blue Tops,62.0
20311,Women,Apparel,Topwear,Tunics,White,Fall,2011,Casual,Jealous 21 Women Printed White Tunic,57.2
5007,Women,Apparel,Dress,Dresses,Purple,Summer,2011,Casual,Gini and Jony Girl's Sandra Purple Kidswear,74.5
7512,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Sports,Nike Women's Black Polo T-shirt,99.3
37158,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top,62.1
53429,Women,Apparel,Topwear,Kurtas,Red,Fall,2012,Ethnic,Alma Women Red Printed Kurta,83.6
28573,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Nike Women Air Scoop Pink T-shirt,88.1
22227,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Little Miss Women Sunshine Pink T-shirt,61.9
2295,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010,Sports,Nike Women Cruiser Pink T-shirt,86.4
11536,Women,Apparel,Topwear,Kurtas,Pink,Summer,2011,Ethnic,W Women Printed Pink Kurtas,68.4
20305,Women,Apparel,Topwear,Sweaters,Magenta,Fall,2011,Casual,Jealous 21 Women Solid Magenta Sweater,81.6
46021,Women,Apparel,Topwear,Kurtis,Orange,Summer,2012,Ethnic,Fabindia Women Orange Kurti,81.7
34929,Women,Apparel,Topwear,Dupatta,Beige,Summer,2012,Ethnic,Fabindia Beige Dupatta,76.8
59359,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Vishudh Women Blue Printed Kurta,54.5
43665,Women,Apparel,Topwear,Tunics,Purple,Summer,2012,Casual,ONLY Women Purple Tunic,91.8
58691,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,ALayna Women Green Kurta,66.0
12609,Women,Apparel,Topwear,Sweaters,Blue,Fall,2011,Casual,Jealous 21 Women Solid Blue Sweaters,59.3
52136,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Femella Women Black Polo T-Shirt,52.0
38593,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Women Printed Scoop Black T-shirt,79.5
11568,Women,Apparel,Topwear,Kurtas,Pink,Summer,2011,Ethnic,W Women Printed Pink Kurtas,83.9
10324,Women,Apparel,Topwear,Tops,Black,Fall,2011,Casual,Puma Women Heather USP Black Tshirts,50.8
22046,Women,Apparel,Topwear,Kurtas,Mustard,Fall,2011,Ethnic,Vishudh Women Mustard Printed Kurta,75.6
28946,Women,Apparel,Topwear,Tunics,White,Summer,2012,Ethnic,BIBA OUTLET Women White Tunic,61.3
44647,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012,Casual,Arrow Woman Navy Blue Top,82.3
28708,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,W Women Black Kurta,58.7
24159,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,Aurelia Women Blue Striped Kurta,84.5
12115,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011,Ethnic,W Women Printed Beige Kurtas,69.3
42213,Women,Apparel,Topwear,Tops,Orange,Summer,2012,Casual,Sepia Women Orange Top,96.8
57112,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Elle Women Green Color Clash Top,56.9
42529,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,Mother Earth Women Multi Coloured Kurta,67.1
51454,Women,Apparel,Topwear,Tops,Multi,Summer,2012,Casual,Tonga Women Multicoloured Top,55.7
31315,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,W Women Brown Kurta,96.2
35040,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Fabindia Women Printed White Kurta,93.9
42540,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Mother Earth Women Blue Kurta,62.9
20227,Women,Apparel,Topwear,Sweaters,Green,Fall,2011,Casual,Wrangler Women Solid Green Sweater,83.0
13452,Women,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,United Colors of Benetton Women Check Green Shirts,90.9
7017,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,s.Oliver Women White T-shirt,77.8
41761,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Remanika Women Printed Green Top,76.5
50321,Women,Apparel,Topwear,Kurtis,Black,Summer,2012,Ethnic,Aurelia Women Black Kurti,62.1
10402,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Jealous 21 Women Una Pink Tops,54.7
48103,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,French Connection Women White Printed Top,94.9
19102,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,Mother Earth Women Solid Pink Kurta,95.0
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,2011,Ethnic,Aurelia Women Voile Orange Dupatta,81.7
43308,Women,Apparel,Topwear,Shirts,Pink,Summer,2012,Casual,United Colors of Benetton Women Pink Shirt,67.0
57174,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Elle Women Dark Pink T-shirt,67.5
53398,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2012,Ethnic,Alma Women Maroon Printed Kurta,86.3
34586,Women,Apparel,Dress,Dresses,Black,Summer,2012,Casual,Tonga Women Printed Black Dress,94.9
51446,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Tonga Women Cream-Coloured Top,94.4
12098,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011,Ethnic,W Women Printed Beige Kurtas,89.0
